ProductNumber,BrandName,ProductName,Nameless,Country,grams,mL,Pcs,DollarPerKg,Dollars,BusinessName,Location1,HoursMon,HoursTue,HoursWed,HoursThu,HoursFri,HoursSat,HoursSun,Phone
CA000010047,Brinkers,Dark Chocolate Spread,Organic,Holland,400,null,null,null,7.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010048,Penotti,Cookie Notti - Cookie Butter - Crunchy,null,Holland,400,null,null,null,7.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010049,Penotti,Cookie Notti - Cookie Butter - Original,null,Holland,400,null,null,null,7.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010050,Penotti,Duo Penotti - Hazelnut and Vanilla Spread,null,Holland,350,null,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010051,Nutella,Hazelnut Spread,null,Poland,350,null,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010052,Paola,Sour Cherry Syrup,null,Poland,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010053,Paola,Raspberry Syrup,null,Poland,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010054,Paola,Raspberry and Lemon Syrup,null,Poland,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010055,Paola,Raspberry and Linden Syrup,null,Poland,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010056,Paola,Black Currant Syrup,null,Poland,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010057,Polonia,Rasberry Syrup,null,Poland,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010058,Goya,Mango Jam,null,USA,482,null,null,null,3.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010059,Goya,Passion Fruit Jam,null,USA,482,null,null,null,3.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010060,Goya,Papaya Jam,null,USA,482,null,null,null,3.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010061,S&F,Black Currant Syrup,null,Slovenia,null,1000,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010062,S&F,Morello Cherry Syrup,null,Slovenia,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010063,S&F,Raspberry Syrup,null,Slovenia,null,1000,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010064,Wilkin & Sons Ltd.,Pure Orangle Marmalade - Thick Cut Peel,null,England,null,250,null,null,10.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010065,Wilkin & Sons Ltd.,Pure Orange Marmalade - Medium Cut Peel,null,England,null,250,null,null,10.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010066,Wilkin & Sons Ltd.,Pure Raspberry Jam ,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010067,Wilkin & Sons Ltd.,Pure Raspberry Seedless Jam,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010068,Wilkin & Sons Ltd.,Pure Apricot Jam,null,England,null,250,null,null,7.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010069,Wilkin & Sons Ltd.,Pure Ginger Compote,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010070,Wilkin & Sons Ltd.,Pure Morello Cherry Jam,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010071,Wilkin & Sons Ltd.,Pure Red Currant Jelly,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010072,Wilkin & Sons Ltd.,Pure Blackberry Jelly,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010073,Wilkin & Sons Ltd.,Pure Strawberry Jam,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010074,Wilkin & Sons Ltd.,Pure Peach Jam,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010075,Wilkin & Sons Ltd.,Pure Lime Marmalade,null,England,null,250,null,null,10.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010076,Wilkin & Sons Ltd.,Pure Orange & Tangerine Marmalade,null,England,null,250,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010077,Raureni,Plum Butter,No sugar added,Romania,null,720,null,null,6.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010078,Grafschafter Krautfabrik,Sugar-Beet Syrup,null,Germany,null,375,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010079,Hero,Red Currant Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010080,Hero,Black Cherry Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010081,Hero,Apricot Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010082,Hero,Forest Berry Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010083,Hero,Black Currant Cassis Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010084,Hero,Blackberry Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010085,Hero,Bitter Orange Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010086,Hero,Raspberry Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010087,Hero,Blueberry Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010088,Hero,Strawberry Fruit Spread,null,Germany,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010089,Darbo,Raspberry Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010090,Darbo,Forest Berries Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010091,Darbo,Bitter Orange Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010092,Darbo,Black Currant Fruit Spread,Seedless,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010093,Darbo,Red Currant Fruit Spread,Seedless,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010094,Darbo,Raspberry Rhubarb Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010095,Darbo,Garden Strawberry Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010096,Darbo,Black Cherry Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010097,Darbo,Wild Lingonberry Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010098,Darbo,Rose Apricot Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010099,Darbo,Plum Butter Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010100,Darbo,Rosehip Fruit Spread,Seedless,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010101,Darbo,Wild Blueberry Fruit Spread,null,Austria,null,350,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010102,St. Dalfour,Oranges with Peels Jam ,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010103,St. Dalfour,Cranberry with Blueberry Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010104,St. Dalfour,Red Raspberry & Pomegranate Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010105,St. Dalfour,Golden Peach Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010106,St. Dalfour,Four Fruits Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010107,St. Dalfour,Pear William Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010108,St. Dalfour,Mirabelle Plum,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010109,St. Dalfour,Ginger and Orange Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010110,St. Dalfour,Royal Fig Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010111,St. Dalfour,Blackcurrant Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010112,St. Dalfour,Strawberry Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010113,St. Dalfour,Red Raspberry Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010114,St. Dalfour,Black Raspberry Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010115,St. Dalfour,Black Cherry Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010116,St. Dalfour,Thick Apricot Extra Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010117,St. Dalfour,Wild Blueberry Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010118,St. Dalfour,Pineapple & Mango Jam,null,France,null,225,null,null,6.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010119,Schwartau,Blueberry Jam,null,Germany,null,265,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010120,Schwartau,Holstein Plum Butter,null,Germany,330,null,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010121,Schwartau,Red Currant Jam,null,Germany,340,null,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010122,Schwartau,Strawberry Jam,null,Germany,null,265,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010123,Schwartau,Sour Cherry Jam,null,Germany,340,null,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010124,Schwartau,Gooseberry Jam,null,Germany,340,null,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010125,Schwartau,Forest Fruits Jam,null,Germany,null,265,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010126,Schwartau,Rosehip Jam,null,Germany,340,null,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010127,Schwartau,Apricot Jam,null,Germany,null,265,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010128,Schwartau,Black Currant Jam,null,Germany,340,null,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010129,Schwartau,Black Cherry Jam,null,Germany,null,265,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010130,Schwartau,Bitter Orange Marmalade Jam,null,Germany,350,null,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010131,Schwartau,Plum Jam,null,Germany,350,null,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010132,Schwartau,Orange; Cranberry; Red Currant; Peach; Elder Berry Jam with Scotch Whiskey,null,Germany,350,null,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010133,Menz & Gasser,Fig Jam,null,Italy,null,250,null,null,4.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010134,Menz & Gasser,Forest Berries Jam,null,Italy,null,250,null,null,4.69,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010135,Menz & Gasser,Strawberry Jam,null,Italy,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010136,Menz & Gasser,Apricot Jam,null,Italy,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010137,Menz & Gasser,Morello Cherry Jam,null,Italy,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010138,Menz & Gasser,Peach Jam,null,Italy,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010139,Menz & Gasser,Prunellata Pflaumenumus Jam,null,Italy,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010140,Honey Bear,Apricot Jam,null,Hungary,null,315,null,null,3.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010141,Univer,Sour Cherry Preserve,null,Hungary,null,250,null,null,4.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010142,S&F,Rosehip Jam,null,Croatia,null,375,null,null,3.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010143,S&F,Black Currant Jam,null,Croatia,null,375,null,null,3.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010144,S&F,Sour Cherry Jam,null,Croatia,null,375,null,null,3.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010145,S&F,Strawberry Jam,null,Croatia,null,375,null,null,3.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010146,S&F,Plum Butter Jam,null,Croatia,null,375,null,null,3.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010147,S&F,Apricot Jam,null,Croatia,null,375,null,null,3.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010148,Robertson's,Ginger Marmalade,null,England,null,250,null,null,4.29,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010149,Raureni,Magiun de Prune Jam,null,Romania,350,null,null,null,4.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
